Nombre,Fecha,Patron,Lugar,Estatus,Caducidad,Pagina,Fecha_Str,Link
"Analista de Forecasting (SQL, Python, Airflow)",2026-07-21,LEE & MILLER,"Azcapotzalco, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=174c5268f2576195&hl=es
Especialista de Base de Datos,2026-07-21,TESI de México,"Colonia Bosques de las Lomas, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=d6a7137089d2fbe7&hl=es
Analista de Datos,2026-07-21,Grupo Nach,"Coyoacán, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=94788b0ecb268de8&hl=es
Analista de Datos (BI),2026-07-14,Tres.Zero,"Los Alpes, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=9c3b72c426edc0bc&hl=es
Científico de Datos,2026-07-14,MOBILITY ADO,"7 de Julio, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=9a9c034d6153c5cd&hl=es
Ingeniero de Datos Jr./Mid (Calidad de Datos y Gobernanza).,2026-07-14,IQNITIA,"Moctezuma 2a Sección, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=fd8bf2df367229e0&hl=es
Analista de Datos Financieros SQL + Power BI + Tableau,2026-07-14,HirCasa,"Álvaro Obregón, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=68950d09385e6ec5&hl=es
Sales Analyst,2026-07-14,StaffRight LLC,Desde casa,La empresa no te seleccionó,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=5252bf851eccad23&hl=es
Planning Data Support Analyst,2026-07-14,Encuentra tu empleo,Desde casa,Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=908bfd1ea66f51d1&hl=es
Analista de Datos / Business Intelligence Analyst (BI) - Home Office,2026-07-14,Master Loyalty Group,"Ciudad de México, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 14 de jul.,https://mx.indeed.com/viewjob?jk=db24d4e73bd24d71&hl=es
